20240719-101249
Epoch 0/5 ,Loss 11.673,heat_loss_new 6.390,tv_loss 5.215,nps 0.068 
Epoch 0/5 ,Loss 12.605,heat_loss_new 7.335,tv_loss 5.203,nps 0.068 
Epoch 0/5 ,Loss 11.082,heat_loss_new 5.823,tv_loss 5.191,nps 0.068 
Epoch 0/5 ,Loss 11.453,heat_loss_new 6.206,tv_loss 5.180,nps 0.068 
Epoch 0/5 ,Loss 11.950,heat_loss_new 6.713,tv_loss 5.169,nps 0.067 
Epoch 0/5 ,Loss 10.399,heat_loss_new 5.173,tv_loss 5.158,nps 0.067 
Epoch 0/5 ,Loss 12.689,heat_loss_new 7.474,tv_loss 5.147,nps 0.067 
Epoch 0/5 ,Loss 10.862,heat_loss_new 5.659,tv_loss 5.136,nps 0.067 
Epoch 0/5 ,Loss 10.014,heat_loss_new 4.823,tv_loss 5.124,nps 0.067 
Epoch 0/5 ,Loss 11.161,heat_loss_new 5.981,tv_loss 5.112,nps 0.067 
Epoch 0/5 ,Loss 11.719,heat_loss_new 6.551,tv_loss 5.101,nps 0.067 
Epoch 0/5 ,Loss 10.834,heat_loss_new 5.679,tv_loss 5.089,nps 0.067 
Epoch 0/5 ,Loss 11.403,heat_loss_new 6.259,tv_loss 5.077,nps 0.067 
Epoch 0/5 ,Loss 10.341,heat_loss_new 5.208,tv_loss 5.065,nps 0.067 
Epoch 0/5 ,Loss 10.467,heat_loss_new 5.347,tv_loss 5.054,nps 0.067 
Epoch 0/5 ,Loss 11.271,heat_loss_new 6.162,tv_loss 5.042,nps 0.067 
Epoch 0/5 ,Loss 10.503,heat_loss_new 5.406,tv_loss 5.031,nps 0.067 
Epoch 0/5 ,Loss 10.591,heat_loss_new 5.505,tv_loss 5.020,nps 0.067 
Epoch 0/5 ,Loss 11.010,heat_loss_new 5.935,tv_loss 5.009,nps 0.066 
Epoch 0/5 ,Loss 10.656,heat_loss_new 5.591,tv_loss 4.998,nps 0.066 
Epoch 0/5 ,Loss 10.218,heat_loss_new 5.164,tv_loss 4.988,nps 0.066 
Epoch 0/5 ,Loss 10.359,heat_loss_new 5.316,tv_loss 4.977,nps 0.066 
Epoch 0/5 ,Loss 9.250,heat_loss_new 4.217,tv_loss 4.966,nps 0.066 
Epoch 0/5 ,Loss 11.002,heat_loss_new 5.980,tv_loss 4.955,nps 0.066 
